experiment_id,phase,subset_name,window,model_family,run,selection_metric,test_policy
phase2a_000,phase_2a_previous_day_priority,daytime_only,7,mlp_current_day,True,validation_balanced_accuracy,validation ranking 이후 확인
phase2a_001,phase_2a_previous_day_priority,daytime_only,7,gru,True,validation_balanced_accuracy,validation ranking 이후 확인
phase2a_002,phase_2a_previous_day_priority,daytime_only,7,bilstm,True,validation_balanced_accuracy,validation ranking 이후 확인
phase2a_003,phase_2a_previous_day_priority,daytime_only,7,cnn_1d,True,validation_balanced_accuracy,validation ranking 이후 확인
phase2a_004,phase_2a_previous_day_priority,daytime_only,14,mlp_current_day,True,validation_balanced_accuracy,validation ranking 이후 확인
phase2a_005,phase_2a_previous_day_priority,daytime_only,14,gru,True,validation_balanced_accuracy,validation ranking 이후 확인
phase2a_006,phase_2a_previous_day_priority,daytime_only,14,bilstm,True,validation_balanced_accuracy,validation ranking 이후 확인
phase2a_007,phase_2a_previous_day_priority,daytime_only,14,cnn_1d,True,validation_balanced_accuracy,validation ranking 이후 확인
phase2a_008,phase_2a_previous_day_priority,no_high_sleep_session,7,mlp_current_day,True,validation_balanced_accuracy,validation ranking 이후 확인
phase2a_009,phase_2a_previous_day_priority,no_high_sleep_session,7,gru,True,validation_balanced_accuracy,validation ranking 이후 확인
phase2a_010,phase_2a_previous_day_priority,no_high_sleep_session,7,bilstm,True,validation_balanced_accuracy,validation ranking 이후 확인
phase2a_011,phase_2a_previous_day_priority,no_high_sleep_session,7,cnn_1d,True,validation_balanced_accuracy,validation ranking 이후 확인
phase2a_012,phase_2a_previous_day_priority,no_high_sleep_session,14,mlp_current_day,True,validation_balanced_accuracy,validation ranking 이후 확인
phase2a_013,phase_2a_previous_day_priority,no_high_sleep_session,14,gru,True,validation_balanced_accuracy,validation ranking 이후 확인
phase2a_014,phase_2a_previous_day_priority,no_high_sleep_session,14,bilstm,True,validation_balanced_accuracy,validation ranking 이후 확인
phase2a_015,phase_2a_previous_day_priority,no_high_sleep_session,14,cnn_1d,True,validation_balanced_accuracy,validation ranking 이후 확인
