feature_set,model,feature_count,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,true_negative,false_positive,false_negative,true_positive
wearable_only,logistic_regression,103,0.8039538714991763,0.8075811264453562,0.6996197718631179,0.8214285714285714,0.75564681724846,0.9045598657217457,0.8461836471905245,304,79,40,184
all_features,logistic_regression,197,0.7808896210873146,0.7985709623274897,0.6531986531986532,0.8660714285714286,0.744721689059501,0.8801286833271167,0.8055421254861361,280,103,30,194
no_missing_indicators,logistic_regression,100,0.7792421746293245,0.7963388194703469,0.652027027027027,0.8616071428571429,0.7423076923076923,0.8818887541961955,0.8092871823869685,280,103,31,193
no_availability_features,logistic_regression,63,0.7792421746293245,0.7750256434166356,0.68,0.7589285714285714,0.7172995780590717,0.8602200671391271,0.764372890293866,303,80,54,170
wearable_values_only,logistic_regression,43,0.7825370675453048,0.7748566299888102,0.6900826446280992,0.7455357142857143,0.7167381974248928,0.8704774337933606,0.7770569584086101,308,75,57,167
wearable_only,random_forest,103,0.7693574958813838,0.7671927452443118,0.6640625,0.7589285714285714,0.7083333333333334,0.8295062476687802,0.6898867946479814,297,86,54,170
no_missing_indicators,random_forest,100,0.7578253706754531,0.7534210649011563,0.6521739130434783,0.7366071428571429,0.6918238993710691,0.8436567512122343,0.7334466149513,295,88,59,165
all_features,random_forest,197,0.7512355848434926,0.749125792614696,0.640926640926641,0.7410714285714286,0.6873706004140787,0.8304270794479671,0.7065665622248009,290,93,58,166
wearable_values_only,random_forest,43,0.7462932454695222,0.7396493845580008,0.64,0.7142857142857143,0.6751054852320675,0.81557720999627,0.6412062887007719,293,90,64,160
no_availability_features,random_forest,63,0.7248764415156508,0.7143381667288325,0.6163265306122448,0.6741071428571429,0.6439232409381663,0.8012402088772845,0.6191820639114705,289,94,73,151
context_survey_only,logistic_regression,94,0.42504118616144976,0.4841535341290564,0.35891647855530473,0.7098214285714286,0.4767616191904048,0.46155235919433046,0.3702259937579171,99,284,65,159
context_survey_only,random_forest,94,0.5057660626029654,0.47491607609101083,0.3389830508474576,0.35714285714285715,0.34782608695652173,0.4547918220813129,0.365055611143525,227,156,144,80
