raw_feature_index,feature,raw_feature_group,removed_by_zero_variance,model_feature_index
0,steps_pre_sleep_sum,pre_sleep_intraday,False,0.0
1,steps_pre_sleep_record_count,pre_sleep_intraday,False,1.0
2,steps_pre_sleep_active_record_count,pre_sleep_intraday,False,2.0
3,steps_pre_sleep_last_3h_sum,pre_sleep_intraday,False,3.0
4,steps_pre_sleep_last_1h_sum,pre_sleep_intraday,False,4.0
5,calories_pre_sleep_sum,pre_sleep_intraday,False,5.0
6,calories_pre_sleep_record_count,pre_sleep_intraday,False,6.0
7,calories_pre_sleep_last_3h_sum,pre_sleep_intraday,False,7.0
8,calories_pre_sleep_last_1h_sum,pre_sleep_intraday,False,8.0
9,heart_rate_pre_sleep_mean,pre_sleep_intraday,False,9.0
10,heart_rate_pre_sleep_std,pre_sleep_intraday,False,10.0
11,heart_rate_pre_sleep_min,pre_sleep_intraday,False,11.0
12,heart_rate_pre_sleep_max,pre_sleep_intraday,False,12.0
13,heart_rate_pre_sleep_record_count,pre_sleep_intraday,False,13.0
14,heart_rate_pre_sleep_mean_confidence,pre_sleep_intraday,False,14.0
15,heart_rate_pre_sleep_last_3h_mean,pre_sleep_intraday,False,15.0
16,heart_rate_pre_sleep_last_1h_mean,pre_sleep_intraday,False,16.0
17,heart_rate_pre_sleep_median,pre_sleep_intraday,False,17.0
18,pre_sleep_window_hours,timing,False,18.0
19,sleep_start_hour,timing,False,19.0
20,sleep_start_dayofweek_sin,timing,False,20.0
21,sleep_start_dayofweek_cos,timing,False,21.0
22,sleep_start_month_sin,timing,False,22.0
23,sleep_start_month_cos,timing,False,23.0
24,previous_day_resting_hr_resting_heart_rate_mean,previous_day_daily,False,24.0
25,previous_day_resting_hr_error_mean,previous_day_daily,False,25.0
26,previous_day_resting_hr_record_count,previous_day_daily,True,
27,previous_day_lightly_active_minutes_sum,previous_day_daily,False,26.0
28,previous_day_moderately_active_minutes_sum,previous_day_daily,False,27.0
29,previous_day_sedentary_minutes_sum,previous_day_daily,False,28.0
30,previous_day_very_active_minutes_sum,previous_day_daily,False,29.0
31,previous_day_steps_sum,previous_day_daily,False,30.0
32,previous_day_steps_record_count,previous_day_daily,False,31.0
33,previous_day_calories_sum,previous_day_daily,False,32.0
34,previous_day_calories_record_count,previous_day_daily,True,
35,steps_pre_sleep_sum_missing_ind,missing_indicator,False,33.0
36,steps_pre_sleep_record_count_missing_ind,missing_indicator,True,
37,steps_pre_sleep_active_record_count_missing_ind,missing_indicator,True,
38,steps_pre_sleep_last_3h_sum_missing_ind,missing_indicator,False,34.0
39,steps_pre_sleep_last_1h_sum_missing_ind,missing_indicator,False,35.0
40,calories_pre_sleep_sum_missing_ind,missing_indicator,False,36.0
41,calories_pre_sleep_record_count_missing_ind,missing_indicator,True,
42,calories_pre_sleep_last_3h_sum_missing_ind,missing_indicator,False,37.0
43,calories_pre_sleep_last_1h_sum_missing_ind,missing_indicator,False,38.0
44,heart_rate_pre_sleep_mean_missing_ind,missing_indicator,False,39.0
45,heart_rate_pre_sleep_std_missing_ind,missing_indicator,False,40.0
46,heart_rate_pre_sleep_min_missing_ind,missing_indicator,False,41.0
47,heart_rate_pre_sleep_max_missing_ind,missing_indicator,False,42.0
48,heart_rate_pre_sleep_record_count_missing_ind,missing_indicator,True,
49,heart_rate_pre_sleep_mean_confidence_missing_ind,missing_indicator,False,43.0
50,heart_rate_pre_sleep_last_3h_mean_missing_ind,missing_indicator,False,44.0
51,heart_rate_pre_sleep_last_1h_mean_missing_ind,missing_indicator,False,45.0
52,heart_rate_pre_sleep_median_missing_ind,missing_indicator,False,46.0
53,pre_sleep_window_hours_missing_ind,missing_indicator,True,
54,sleep_start_hour_missing_ind,missing_indicator,True,
55,sleep_start_dayofweek_sin_missing_ind,missing_indicator,True,
56,sleep_start_dayofweek_cos_missing_ind,missing_indicator,True,
57,sleep_start_month_sin_missing_ind,missing_indicator,True,
58,sleep_start_month_cos_missing_ind,missing_indicator,True,
59,previous_day_resting_hr_resting_heart_rate_mean_missing_ind,missing_indicator,False,47.0
60,previous_day_resting_hr_error_mean_missing_ind,missing_indicator,False,48.0
61,previous_day_resting_hr_record_count_missing_ind,missing_indicator,False,49.0
62,previous_day_lightly_active_minutes_sum_missing_ind,missing_indicator,False,50.0
63,previous_day_moderately_active_minutes_sum_missing_ind,missing_indicator,False,51.0
64,previous_day_sedentary_minutes_sum_missing_ind,missing_indicator,False,52.0
65,previous_day_very_active_minutes_sum_missing_ind,missing_indicator,False,53.0
66,previous_day_steps_sum_missing_ind,missing_indicator,False,54.0
67,previous_day_steps_record_count_missing_ind,missing_indicator,False,55.0
68,previous_day_calories_sum_missing_ind,missing_indicator,False,56.0
69,previous_day_calories_record_count_missing_ind,missing_indicator,False,57.0
